language,mode,faithfulness,answer_relevancy,context_precision,context_recall
ko,hybrid_rerank,0.946031746031746,0.4912350083392288,0.8666666666283335,0.7144444444444444
en,hybrid_rerank,0.9027242691948575,0.9195781889364756,0.8555555555161111,0.8033333333333333
vi,hybrid_rerank,0.9067773600668336,0.5168768361475774,0.8833333332916669,0.7944444444444444
