mode,faithfulness,answer_relevancy,context_precision,context_recall
vector,0.8945328282828285,0.44893913159890636,0.8055555555200001,0.6611111111111111
hybrid,0.8972619047619048,0.4531047638987994,0.8138888888501391,0.6611111111111111
hybrid_rerank,0.9380952380952381,0.4863579381529514,0.8999999999605558,0.7144444444444444
